Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,,,
9163985,00000023,FALSE,Rx,0,5,B1,80,7F,04,4A,00,00,00,,,
9213965,0000002F,FALSE,Rx,0,5,21,05,C3,05,11,00,00,00,,C305,49925
9253977,0000001B,FALSE,Rx,0,3,22,FF,DD,00,00,00,00,00,,,
9284108,00000023,FALSE,Rx,0,5,22,8A,BD,00,95,00,00,00,,,
9333968,0000001B,FALSE,Rx,0,3,23,FF,DC,00,00,00,00,00,,,
9364019,00000023,FALSE,Rx,0,5,23,E6,C2,00,33,00,00,00,,,
9414008,0000002F,FALSE,Rx,0,5,25,C6,BC,05,52,00,00,00,,BCC6,48326
9454066,0000001B,FALSE,Rx,0,3,26,FF,D9,00,00,00,00,00,,,
9484086,00000023,FALSE,Rx,0,5,26,4E,BD,00,CD,00,00,00,,,
9534090,0000001B,FALSE,Rx,0,3,28,FF,D7,00,00,00,00,00,,,
9563989,00000023,FALSE,Rx,0,5,28,CF,C2,00,45,00,00,00,,,
9613946,0000001B,FALSE,Rx,0,3,24,FF,DB,00,00,00,00,00,,,
9643934,00000023,FALSE,Rx,0,5,24,1C,BF,00,00,00,00,00,,,
9694330,0000001B,FALSE,Rx,0,3,27,FF,D8,00,00,00,00,00,,,
9723758,00000023,FALSE,Rx,0,5,27,EE,BD,00,2C,00,00,00,,,
9773780,0000002F,FALSE,Rx,0,5,B1,FE,FF,00,4F,00,00,00,,FFFE,65534
9813840,0000002F,FALSE,Rx,0,5,21,05,C3,05,11,00,00,00,,C305,49925
9853773,0000002F,FALSE,Rx,0,5,22,8A,BD,0D,88,00,00,00,,BD8A,48522
9894081,0000002F,FALSE,Rx,0,5,23,E6,C2,05,2E,00,00,00,,C2E6,49894
9933973,0000002F,FALSE,Rx,0,5,25,C6,BC,05,52,00,00,00,,BCC6,48326
9973969,0000002F,FALSE,Rx,0,5,26,4E,BD,05,C8,00,00,00,,BD4E,48462
10013957,0000002F,FALSE,Rx,0,5,28,CF,C2,05,40,00,00,00,,C2CF,49871
10053914,0000002F,FALSE,Rx,0,5,24,50,C7,05,BE,00,00,00,,C750,51024
10094229,0000002F,FALSE,Rx,0,5,27,EE,BD,05,27,00,00,00,,BDEE,48622
10133986,0000001B,FALSE,Rx,0,3,B1,FF,4E,00,00,00,00,00,,,
10163950,00000023,FALSE,Rx,0,5,B1,80,7F,04,4A,00,00,00,,,
10214026,0000001B,FALSE,Rx,0,3,21,FF,DE,00,00,00,00,00,,,
